epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.709,0.87142,2.69072,1.16045,0.66783,0.72353,0.8618,0.72153,0.52176,1.96478,0.84361,0.00025,0.00025,0.00025
2,182.664,0.6427,1.03557,0.99008,0.59368,0.86264,0.74683,0.60299,0.73256,13.837,1.12661,0.00047634,0.00047634,0.00047634
3,279.007,0.65188,0.80068,0.98301,0.7854,0.79539,0.87854,0.60425,0.87467,2.27948,1.32239,0.00066836,0.00066836,0.00066836
4,363.877,0.6297,0.73075,0.96526,0.6626,0.85656,0.92748,0.71427,0.74054,5.4187,1.01626,0.000802,0.000802,0.000802
5,412.688,0.59675,0.63128,0.9744,0.9606,0.91875,0.97514,0.82863,0.58928,2.34937,0.89822,0.000736,0.000736,0.000736
6,488.569,0.46275,0.46814,0.86942,0.86859,0.94135,0.97716,0.83098,0.5572,2.11637,0.87406,0.00067,0.00067,0.00067
7,533.875,0.45581,0.43086,0.87134,0.83466,0.84478,0.95274,0.84679,0.41927,1.69799,0.78788,0.000604,0.000604,0.000604
8,573.151,0.42008,0.40002,0.84989,0.96851,0.79683,0.97736,0.84611,0.41404,0.73565,0.78386,0.000538,0.000538,0.000538
9,616.481,0.37809,0.34989,0.83561,0.92256,0.91783,0.98367,0.87781,0.3951,0.53861,0.78922,0.000472,0.000472,0.000472
10,654.902,0.36881,0.33358,0.8308,0.98023,0.98151,0.97946,0.88297,0.36814,0.37872,0.76998,0.000406,0.000406,0.000406
11,735.021,0.34242,0.31561,0.82024,0.98585,0.98071,0.9864,0.91547,0.30277,0.27026,0.76394,0.00034,0.00034,0.00034
12,794.347,0.31358,0.29205,0.81426,0.99518,0.97823,0.98546,0.92585,0.29146,0.23897,0.75003,0.000274,0.000274,0.000274
13,868.356,0.28062,0.26717,0.79938,0.99058,0.98567,0.99017,0.93981,0.25268,0.22463,0.74582,0.000208,0.000208,0.000208
14,911.483,0.25849,0.24434,0.78542,0.99445,0.98331,0.99039,0.92983,0.25625,0.22307,0.74475,0.000142,0.000142,0.000142
15,964.725,0.23637,0.23289,0.79036,0.99531,0.98463,0.99045,0.94598,0.21354,0.19156,0.7385,7.6e-05,7.6e-05,7.6e-05
